Unnamed: 0	description	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710	HSD-NC	HSD-NR	Total
EC:1.1.1.1	Alcohol dehydrogenase	7831.203789949375	12299.874362637742	11800.789966237871	43969.077761113615	2209.134226232164	43289.94254182672	10036.3452560851	23175.318343711377	2753.1920487996267	78110.08010617078	79254.79819042282	157364.8782965936
EC:1.1.1.10	L-xylulose reductase	0.1659566960344085	0.5451497337289302	0.1060332143977905	8.634186895096139e-05	0.0	5.354854624209782	0.0001746360948156	2.153391722986184	0.4022800204020599	0.8172259860300801	7.910701003692841	8.72792698972292
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	13834.779337315184	25947.29206253097	25634.455871422164	84025.70341481979	3969.172159348416	82846.96278466986	17390.828609329597	47916.99653938229	5525.560802775688	153411.4028454365	153680.34873615744	307091.75158159394
EC:1.1.1.101	Acylglycerone-phosphate reductase	6.55478752525495e-29	6.788514428415905e-29	1.0613705620326866e-28	5.087942523185004e-28	0.0	5.626349139395058e-28	3.432863890176504e-29	3.386744563749208e-28	4.8373121564918746e-29	7.483643280584776e-28	9.840111307811104e-28	1.732375458839588e-27
EC:1.1.1.102	3-dehydrosphinganine reductase	0.4888619742966708	0.8852512048237309	2.922239928018952	11.538295091255218	0.0804271557007204	4.453367704488964	0.7088258684644021	1.352369676928599	1.1976864688719742	15.915075354095292	7.712249718753939	23.62732507284923
EC:1.1.1.103	L-threonine 3-dehydrogenase	368.8283183242847	1242.2813047048326	1209.4571855242518	1434.724507712543	304.6041588450993	5634.075366190931	1116.5665956270673	2223.291583358122	297.76131751425885	4559.8954751110105	9271.69486269038	13831.590337801392
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	0.0	0.0	0.0	0.0	0.2103696995896241	0.0	0.0	0.0	0.0	0.2103696995896241	0.0	0.2103696995896241
EC:1.1.1.107	Pyridoxal 4-dehydrogenase	17.89892339942833	290.275334749156	184.7300332157452	113.12522376047464	8.51115877104673	704.0952952938695	122.01723787115652	235.1470554560481	19.343045417292032	614.540673895851	1080.6026340383662	1695.143307934217
EC:1.1.1.108	Carnitine 3-dehydrogenase	39.50513393099021	187.88497009352085	173.41623946988625	149.41803759257462	56.66280145102386	763.0370697143037	197.6549516058577	176.5291696972215	28.37470426116301	606.8871825379957	1165.595895278546	1772.4830778165417
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	30.330582557526835	658.5005802388481	50.67101129456911	327.0039583914645	0.0002864041503159	153.0043486742025	76.7505057600246	38.2526738440096	33.67041332828107	1066.5064188865588	301.6779416065178	1368.1843604930766
