group-id	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1	0.4023263059507737	0.01863905325443787	0.016983420946219168	0.6587372891738473	0.012681159420289856	0.009750871586287043	0.015091750986108729	0.0016135538523598225	0.0
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.10977256205213418	0.020636094674556214	0.005337646583097453	0.08373831012373913	0.005434782608695652	0.004067402672864613	0.009661007260046876	0.0010757025682398816	0.0038381018841591066
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|uncultured_bacterium	0.0	0.0008875739644970414	0.021188839466235343	0.024400702413525543	0.010093167701863354	0.0010713248111563045	0.0009146515749156805	0.05553314508538389	0.14200976971388696
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Romboutsia	0.1682417696541697	0.023668639053254437	0.017873028710068743	0.056111406052190956	0.008281573498964804	0.025294160371876817	0.0	0.005109587199139438	0.0052337752965806
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae|uncultured_bacterium	0.00197320594038841	0.1411242603550296	0.03040841083704003	0.016825254216523054	0.5610766045548654	0.07197850087158629	0.43606013834105073	0.08022948321455785	0.07048150732728542
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014|unidentified	0.005192647211548447	0.013461538461538462	0.030651031136271736	0.0015722628333401396	0.011645962732919254	0.026619697850087158	0.019379180243525983	0.0	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter	0.03364835393083394	0.0	0.016740800646987464	0.0	0.0	0.1742627832655433	0.0	0.17161938057460446	0.15875785066294487
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_johnsonii	0.021601412400041542	0.0019230769230769232	0.0017792155276991509	0.001776452811696002	0.0	0.003486345148169669	0.012976619219116218	0.003451212406436287	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group|[Eubacterium]_coprostanoligenes_group|gut_metagenome	0.010073735590403988	0.0027366863905325446	0.0	0.0015314248376689672	0.02872670807453416	0.024858367228355608	0.001829303149831361	0.0	0.0
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014	0.043722089521237927	0.21967455621301776	0.13230893651435505	0.033242128476334384	0.0	0.24362652527600231	0.09512376379123078	0.04159383263860876	0.02372644801116539
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospiraceae_NK4A136_group|uncultured_bacterium	0.0	0.0026627218934911242	0.012292761827739588	0.0018989667987095193	0.0	0.002887129575828007	0.006231063854113074	0.00533369190085608	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia-Shigella	0.015577941634645343	0.008949704142011834	0.02782046097856854	0.006656593294401111	0.018633540372670808	0.005774259151656014	0.021551477733950723	0.012325758594415311	0.030006978367062107
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dubosiella|uncultured_bacterium	0.018485824073112472	0.01708579881656805	0.014152850788515973	0.00232776575325683	0.0	0.0024876525276002325	0.024066769564968844	0.007081708574245888	0.011514305652477321
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus	0.0022847647730813167	0.0027366863905325446	0.004933279417711282	0.01294564462776167	0.0	0.011185357350377687	0.006116732407248614	0.01008471157724889	0.0045359385903698535
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Subdoligranulum	0.0	0.008210059171597632	0.03841488071168621	0.0	0.0	0.0009260604299825682	0.00045732578745784027	0.1774012818788938	0.24563852058618282
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014|uncultured_bacterium	0.006335029598089106	0.013461538461538462	0.0945410432672867	0.0	0.0	0.04423300406740267	0.010346995941233636	0.033212316794406345	0.026168876482903
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Blautia	0.0033232942153910063	0.05495562130177515	0.014961585119288313	0.0	0.0	0.04385168506682161	0.0010861487452123706	0.07189278831069876	0.050942079553384506
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014|uncultured_rumen	0.014747118080797591	0.0	0.010351799433885969	0.0012251398701351739	0.044513457556935816	0.018593840790238233	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospiraceae_NK4A136_group	0.0	0.0015532544378698224	0.0	0.0	0.014751552795031056	0.0016705403834979663	0.0021151317669925113	0.0	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium	0.0	0.0	0.0	0.0007146649242455181	0.02199792960662526	0.0	0.009203681472589036	0.0	0.0
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales|Saccharimonadaceae|Candidatus_Saccharimonas|uncultured_bacterium	0.0037387059923148823	0.015088757396449704	0.03251112009704812	0.0005513129415608282	0.012681159420289856	0.0023060720511330624	0.028468530269250558	0.0008515978665232396	0.0
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Coriobacteriaceae_UCG-002|uncultured_bacterium	0.0032194412711600375	0.0	0.003801051354630004	0.0	0.0	0.003577135386403254	0.0006859886811867604	0.013042893639908565	0.005582693649685973
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.0058157648769342615	0.0	0.0	0.0	0.0	0.0	0.0008003201280512205	0.0012549863296131953	0.0
Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenellaceae_R-7_group	0.041541177692387576	0.02980769230769231	0.0037201779215527697	0.0	0.0	0.013636693782684485	0.01920768307322929	0.0015687329120164942	0.0
Bacteria|Firmicutes|Clostridia|Monoglobales|Monoglobaceae|Monoglobus|uncultured_Clostridium	0.0	0.0	0.058228871815608575	0.0	0.02251552795031056	0.010204822777454967	0.013891270794031898	0.0299852090896867	0.00732728541521284
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|[Eubacterium]_siraeum_group|uncultured_bacterium	0.0	0.0	0.0	0.0015518438355045534	0.014751552795031056	0.00023605461940732133	0.023552278054078776	0.0015687329120164942	0.0
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_animalis	0.007685117873091702	0.010355029585798817	0.004609785685402345	0.00016335198268468983	0.0	0.0	0.0	0.049168571556631256	0.005582693649685973
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group|uncultured_bacterium	0.0	0.0014053254437869822	0.002507076425394258	0.00030628496753379346	0.0	0.003577135386403254	0.008460527067970045	0.01886961588454126	0.013956734124214934
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|uncultured|uncultured_Allobaculum	0.002077058884619379	0.020931952662721895	0.0	0.000530893943725242	0.0	0.0	0.013719773623735209	0.0	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia-Caballeronia-Paraburkholderia|Burkholderia_multivorans	0.004777235434624572	0.012869822485207101	0.0016174686615446825	0.004165475558459591	0.0	0.0025602847181871004	0.006116732407248614	0.0038097799291829143	0.010118632240055827
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001|uncultured_bacterium	0.0	0.008653846153846154	0.0	0.0005921509372320006	0.0	0.0025602847181871004	0.005087749385468473	0.0007619559858365829	0.0
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum|uncultured_bacterium	0.0	0.0	0.0	0.0017356148160248294	0.0	0.0006355316676350959	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus|uncultured_Ruminococcus	0.0	0.0029585798816568047	0.003962798220784472	0.019336790950300158	0.007505175983436853	0.0	0.005430743726061853	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.0	0.0011094674556213018	0.0	0.0	0.0	0.0002178965717606043	0.0	0.005423333781542737	0.0
