Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710	NC	NR	STD-NC	STD-NR	HSD-NC	HSD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	118533.06195823564	221245.91155083463	95361.91469202102	195162.50444637373	96656.43497247192	29067.270417576576	110981.21243307844	71248.0396735433	60362.56839530514	52098.91368807278	47216.4023698619	108529.97615274266	64799.565271593565	21489.34851105232	24766.4476204148	35501.61188837863	88419.86624144376	49798.618977959806	68787.55013314473	24808.9141619744	59638.9225237089	14780.442618651054	73401.78599020804	29907.037548504544	12481.893831389623	5722.076353557042	5806.131724104495	5251.501276911188	39386.85537294792	1437.45062147138	6947.898466238925	1624.4807382646527	115513.32942676618	93259.7486611268	22586.67870456189	6019.150813177253	10034.196314972472	1237.619375473844							
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.97393831304087	140.97651297815966	29.10515473212244	85.80021381707547	7.5596450348978275	1.3258065662220628	60.50653793538338	90.65463676781508	25.12024269427728	20.409583736774383	64.98037975599112	78.40166424522091	29.10658836315904	0.3370525972070766	3.707163821721569	149.9374353260739	727.7904515744792	338.48695379926403	209.22091674639563	128.46560658314365	315.6167449088451	1282.9497773543667	303.98294863570965	523.515043236038	316.38090256040795	95.2615824295668	1396.322615413461	230.50209507007736	713.0681380405524	0.9376639469050586	486.3870811392922	0.1742813229169073	276.78250988901044	1024.0534679980262	654.2579183927538	275.6516712963307	228.2738339114069	94.6625443947264							
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.55596467320495	81.22605664631934	280.57206194974697	22.42649311730741	333.77328494563693	20.80710675606886	28.84351322824581	101.74231101254416	38.673456709953626	8.214692320927451	45.64153409802069	19.603328992211143	57.80280446061239	2.486641622790784	21.45803203050785	64.63189815689769	136.96617420157273	139.92273205708972	62.41522183466111	79.27101951540965	151.4246566428978	86.69939833185244	60.3826752597676	60.37323739123679	62.9354918308081	26.70901432616888	26.73953760329457	61.45017218525422	78.61489374476085	12.770302293569044	83.52535366150313	6.722286893383729	48.84907845331744	100.83534521892412	64.131101479035	68.02176304315664	53.98913849508212	17.012188141418214							
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2636.8523543535885	1303.97215262628	3129.8010840772067	543.3687142530613	3439.312454391336	305.06689148979734	418.5974859506621	1607.17318942987	610.5809972517123	235.87293302110203	778.9915081298591	462.8527588665692	1156.821825606558	64.0300396422297	414.71750239046287	991.2860755356234	1479.036531762686	1410.51111072516	1475.6553503447944	734.0249612373889	1417.758229073734	1158.4543217538646	1096.2416198801448	1179.5116967199565	841.8227205470542	235.2915145920525	335.6048265978351	485.9545851712704	1235.0298349304085	134.3654474778209	522.2366735921316	40.01848315816996	735.5836884944644	1556.343174203787	917.8568091763208	674.8582744980228	1004.705263578006	189.40170184976265							
ANAEROFRUCAT-PWY	homolactic fermentation	104162.45248056525	187684.1989371767	42971.617286208886	134012.28233115078	41779.83086173968	30713.526295947828	59983.120539725445	78319.85642072528	43556.03762850003	46899.02763770658	50169.709869347134	108515.0956198007	65482.56853476746	20802.228312368767	26070.92768982007	33848.448955359934	59194.62256447828	44447.28288153343	60037.81610425221	21465.937921405708	52537.36606657038	20366.38593144314	73170.28147678133	27507.704679789	14352.896318542696	3764.968792397091	6596.132233257281	5103.822530161883	14855.6221705627	1341.8113024882855	9288.509870572618	1718.4189932980128	102629.72911746457	92599.52469014438	22201.67040689216	6223.898790607586	11855.286249235043	1119.207459386686							
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	159613.88834156358	279402.40610919974	119375.19316848172	234681.6554282939	120586.54357340538	37428.09645080925	136763.22235294848	92412.05511719134	73647.62586067585	67816.04415991133	68016.72944711236	138191.48316975316	88353.25473190537	27785.04079308134	33467.8956388154	56228.62865454685	136335.06167153455	77586.73741392195	97961.40699808265	42647.79188100752	95801.78867770745	29800.330839994826	94592.38006288242	41114.14106608406	19643.363071898308	9444.353739719249	9703.71663045683	8255.69342004321	60269.394011550496	2102.357763129894	12821.4577078896	2502.3416375669203	153639.29559204663	136531.2574124107	37525.98527784042	8835.278907153463	17203.52794652093	2110.527453552212							
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17246.37799689041	17627.485756473383	4967.393326455797	33483.56275593155	4088.969979540269	3372.0897530586017	6605.74696201685	18954.11740467948	5342.192465552252	14822.765267524812	18240.17127746585	27289.91663587816	23212.54530113317	5571.964226789609	8128.288929202554	15643.57018905083	13530.32861050113	12918.52658322254	22988.99517861721	11668.883853372854	16043.817037632509	12002.9447500952	22563.46234340316	11249.456083533236	6328.630924737542	1513.431190545221	3915.5793217346536	3215.387960127466	5848.078517118347	569.279578027403	4745.839353917872	451.57788606465937	14123.947354680082	41507.15419422801	12535.71170220964	2698.3156121461107	3633.6754674993817	436.9798341554268							
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.27724963140176	74.18931954819043	263.31743153810504	20.271244670746736	286.46700950024183	19.84854994104209	22.983720404930576	107.126443254445	42.52534664618622	8.315980736260256	41.0119284061895	16.474069067062075	50.78539416794308	2.2468932041254424	20.90061313200379	60.17068785944542	115.79449135496564	123.8894134813562	64.74556789897511	82.48556863560368	136.19606107471594	252.71240048162565	70.88160652070417	59.14643431904239	56.28382896460892	26.003570996572257	29.6156277459335	57.840205454740406	219.32678643215428	11.241892817613918	82.86411504189107	5.579289090804391	83.71020596367903	97.20089577891366	82.6546234877626	103.51876121425803	50.65298237186194	13.827251348633917							
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	15471.292360805675	7561.333447873215	1777.3751427598156	4425.937490057761	1806.8189295970965	2718.9274909193787	2971.0555171677947	10787.601408903942	2642.223439029136	7419.587478208023	6772.528593723758	5539.801654930316	11145.579011760145	2487.9239763107057	3822.91526836155	7807.183954152337	10166.138806649262	7692.544750079769	10981.089349044363	5321.564437923144	9613.62243170804	2718.3417942281017	13769.156907289367	3572.7173353795924	3464.6039647237776	701.7591306575337	1461.119606264686	2051.8115773532586	1910.921121866228	223.48577697951	1128.1197401540544	150.79413364378226	27019.478011073094	15661.94193461319	5131.712639467726	1274.683193005576	3133.0397641087616	159.2217106461964							
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	82282.73835196727	95971.62286690924	56110.475806853705	71782.7875020579	53573.15385175489	12182.036617836648	41736.4217183177	50062.85065572691	18350.669661204152	44522.679519636455	45740.33936237669	57697.744385534	55884.46806330761	14458.398477208952	18746.59780312826	35961.81651773924	83162.81654951809	46377.27681623337	66727.44346690284	25730.674723924003	56269.34196665672	19052.59987431798	57214.7076772784	22818.026680564875	11001.009271760477	5617.529005732305	6638.726216706955	6252.664357650056	38703.40023958335	1325.4443560600716	7269.356861656242	1182.3781616843662	83260.31837526368	86812.63208003377	26361.972985501325	5641.797085274994	11346.75452196011	1239.994118179307							
